Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Height_mean,Depth_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,EV_filename,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean
60,"GRID_B_N_6_04_01","North Grid",254,-75.602358,59.920606,50.503346,35.518793,2975,3473,3.460158,20110604, 15:58:46.2540,48.14913294,-122.68556787,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000061819645,-9999.000000,199.178015,-9999.000000,0.00000139022265,-58.5691564030,0,"Unassigned",100.000000,-40.000000,1.000000,47683.302866,47683.302866,50.503346,32.518793,57.350578,3.750000
62,"GRID_B_N_6_04_02","North Grid",254,-76.857332,42.747552,48.100838,34.644034,3543,3983,4.377121,20110604, 16:07:52.4570,48.15015098,-122.68787721,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000014784280,-9999.000000,199.178015,-9999.000000,0.00000099178929,-60.0358058585,0,"Unassigned",100.000000,-40.000000,1.000000,34017.420961,34017.420961,48.100838,31.644034,55.002803,3.750000
64,"GRID_B_N_6_04_03","North Grid",254,-75.875106,52.668379,47.268157,37.093444,4192,4814,5.273859,20110604, 16:20:31.1990,48.15228345,-122.69034899,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000101057070,-9999.000000,199.178015,-9999.000000,0.00000122196317,-59.1294188435,0,"Unassigned",100.000000,-40.000000,1.000000,41912.164102,41912.164102,47.268157,34.093444,56.039296,3.750000
66,"GRID_B_N_6_04_04","North Grid",254,-77.744812,37.417671,51.649498,38.546794,4900,5374,6.263796,20110604, 16:31:25.2420,48.15376191,-122.69267901,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000013496128,-9999.000000,199.178015,-9999.000000,0.00000086813031,-60.6141508051,0,"Unassigned",100.000000,-40.000000,1.000000,29776.036607,29776.036607,51.649498,35.546794,58.946032,3.750000
68,"GRID_B_N_6_04_05","North Grid",254,-78.085936,29.509881,44.062514,40.296556,5649,6427,7.268797,20110604, 16:46:53.2900,48.15599651,-122.69432635,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000026489128,-9999.000000,199.178015,-9999.000000,0.00000068466106,-61.6452436914,0,"Unassigned",100.000000,-40.000000,1.000000,23483.217530,23483.217530,44.062514,37.296556,52.927396,3.750000
70,"GRID_B_N_6_04_06","North Grid",254,-76.321430,47.063209,46.809357,41.805962,6609,7152,8.353781,20110604, 17:01:32.6350,48.15753333,-122.69639000,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000126234699,-9999.000000,199.178015,-9999.000000,0.00000109191720,-59.6181029440,0,"Unassigned",100.000000,-40.000000,1.000000,37451.712068,37451.712068,46.809357,38.805962,56.666283,3.750000
72,"GRID_B_N_6_04_07","North Grid",254,-74.745505,60.481595,41.848693,40.956877,7673,8524,9.672127,20110604, 17:22:40.4110,48.16201488,-122.69958383,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000094400861,-9999.000000,199.178015,-9999.000000,0.00000140323821,-58.5286859690,0,"Unassigned",100.000000,-40.000000,1.000000,48129.724233,48129.724233,41.848693,37.956877,50.897023,3.750000
74,"GRID_B_N_6_04_08","North Grid",254,-74.828145,62.278859,43.920102,37.419740,8736,9526,11.359654,20110604, 17:40:09.6820,48.16460395,-122.70467558,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000075087568,-9999.000000,199.178015,-9999.000000,0.00000144493668,-58.4015118401,0,"Unassigned",100.000000,-40.000000,1.000000,49559.941631,49559.941631,43.920102,34.419740,50.847782,3.750000
76,"GRID_B_N_6_04_09","North Grid",254,-75.016093,55.384821,40.785732,36.330043,9978,10835,12.912689,20110604, 18:01:41.6310,48.16925485,-122.70799737,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000093972906,-9999.000000,199.178015,-9999.000000,0.00000128498756,-58.9110107755,0,"Unassigned",100.000000,-40.000000,1.000000,44073.840198,44073.840198,40.785732,33.330043,47.467673,3.750000
78,"GRID_B_N_6_04_10","North Grid",254,-74.054302,81.121424,47.871159,42.371767,11026,12002,14.633509,20110604, 18:20:15.5750,48.17224117,-122.71280551,"C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV",-999.000000,1,1,0.00000066332631,-9999.000000,199.178015,-9999.000000,0.00000188210450,-57.2535626778,0,"Unassigned",100.000000,-40.000000,1.000000,64554.378226,64554.378226,47.871159,39.371767,59.342635,3.750000
