Species,Length,Trawl,Date,North_South
Herring,120,MWT14,May-10-2011,North?
Herring,126,MWT14,May-10-2011,North?
Herring,130,MWT14,May-10-2011,North?
Herring,131,MWT14,May-10-2011,North?
Herring,131,MWT14,May-10-2011,North?
Herring,131,MWT14,May-10-2011,North?
Herring,133,MWT14,May-10-2011,North?
Herring,133,MWT14,May-10-2011,North?
Herring,134,MWT14,May-10-2011,North?
Herring,136,MWT14,May-10-2011,North?
Herring,136,MWT14,May-10-2011,North?
Herring,138,MWT14,May-10-2011,North?
Herring,138,MWT14,May-10-2011,North?
Herring,138,MWT14,May-10-2011,North?
Herring,138,MWT14,May-10-2011,North?
Herring,139,MWT14,May-10-2011,North?
Herring,140,MWT14,May-10-2011,North?
Herring,141,MWT14,May-10-2011,North?
Herring,141,MWT14,May-10-2011,North?
Herring,141,MWT14,May-10-2011,North?
Herring,141,MWT14,May-10-2011,North?
Herring,142,MWT14,May-10-2011,North?
Herring,142,MWT14,May-10-2011,North?
Herring,142,MWT14,May-10-2011,North?
Herring,143,MWT14,May-10-2011,North?
Herring,144,MWT14,May-10-2011,North?
Herring,144,MWT14,May-10-2011,North?
Herring,144,MWT14,May-10-2011,North?
Herring,145,MWT14,May-10-2011,North?
Herring,145,MWT14,May-10-2011,North?
Herring,145,MWT14,May-10-2011,North?
Herring,145,MWT14,May-10-2011,North?
Herring,146,MWT14,May-10-2011,North?
Herring,146,MWT14,May-10-2011,North?
Herring,146,MWT14,May-10-2011,North?
Herring,147,MWT14,May-10-2011,North?
Herring,147,MWT14,May-10-2011,North?
Herring,148,MWT14,May-10-2011,North?
Herring,148,MWT14,May-10-2011,North?
Herring,148,MWT14,May-10-2011,North?
Herring,149,MWT14,May-10-2011,North?
Herring,150,MWT14,May-10-2011,North?
Herring,150,MWT14,May-10-2011,North?
Herring,150,MWT14,May-10-2011,North?
Herring,150,MWT14,May-10-2011,North?
Herring,151,MWT14,May-10-2011,North?
Herring,151,MWT14,May-10-2011,North?
Herring,151,MWT14,May-10-2011,North?
Herring,151,MWT14,May-10-2011,North?
Herring,151,MWT14,May-10-2011,North?
Herring,152,MWT14,May-10-2011,North?
Herring,152,MWT14,May-10-2011,North?
Herring,152,MWT14,May-10-2011,North?
Herring,152,MWT14,May-10-2011,North?
Herring,152,MWT14,May-10-2011,North?
Herring,153,MWT14,May-10-2011,North?
Herring,153,MWT14,May-10-2011,North?
Herring,153,MWT14,May-10-2011,North?
Herring,153,MWT14,May-10-2011,North?
Herring,154,MWT14,May-10-2011,North?
Herring,155,MWT14,May-10-2011,North?
Herring,155,MWT14,May-10-2011,North?
Herring,155,MWT14,May-10-2011,North?
Herring,155,MWT14,May-10-2011,North?
Herring,156,MWT14,May-10-2011,North?
Herring,158,MWT14,May-10-2011,North?
Herring,158,MWT14,May-10-2011,North?
Herring,158,MWT14,May-10-2011,North?
Herring,160,MWT14,May-10-2011,North?
Herring,160,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,161,MWT14,May-10-2011,North?
Herring,162,MWT14,May-10-2011,North?
Herring,162,MWT14,May-10-2011,North?
Herring,162,MWT14,May-10-2011,North?
