Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
555,Region 555,Schools detected,326,-66.807338,8.359289,-60.601976,-69.979996,-959.469274,0,0.929847,67.485593,226,2580,2602,2591,3.280833,3.311577,3.295618,0,0,0,20110504, 14:57:27.3280,20110504, 14:57:49.3710,20110504, 14:57:38.3490,48.14576264,-122.6909247,48.14610614,-122.6903592,48.14593635,-122.6906644,68.401356,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,59.633322,3.501325,210.522643,55.446345,1.51454E-07,1.217075,2.347044,0.299007,59.281137,3.117325,209.050272,49.073846,70.866587,1.87E-07,-67.292617,81.19738,1.92457E-07,8.8094E-08,34.840244,1.93945E-07,0,-67.12322475,0,Unassigned,100,-40,1,6652.111123,6652.111123,0.929847,64.485593,65.401356,3.75,0,722.993978,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.316742,63.316742,70.534888,67.534888,0,0,226,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,67.476994,0.665633,0.862832,14.02455,0.071304
556,Region 556,Schools detected,326,-64.370003,44.52812,-54.158648,-69.997937,-960.738159,0,2.825809,61.760067,1941,2672,2736,2704,3.407102,3.50388,3.454611,0,0,0,20110504, 14:58:59.5160,20110504, 15:00:03.6470,20110504, 14:59:31.5820,48.14725791,-122.6887307,48.14842582,-122.6870744,48.14782928,-122.6879145,62.547586,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,182.066147,13.532147,1050.373739,521.131347,4.32157E-07,2.88972,12.057425,2.124656,179.775682,13.148147,1045.02481,499.97327,173.818722,3.58E-07,-64.462046,120.738521,1.06384E-06,3.08034E-07,1102.105708,1.0331E-06,0,-59.85857472,0,Unassigned,100,-40,1,35434.35226,35434.35226,2.825809,58.760067,59.547586,3.75,0,5167.213853,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,57.91066,54.91066,69.556763,66.556763,0,0,1941,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,62.302401,6.510421,0.837713,76.642212,0.013048
557,Region 557,Schools detected,326,-66.438656,19.823502,-59.272098,-69.995353,-960.69225,0,2.025602,62.687169,792,3346,3382,3364,4.532244,4.594196,4.562234,0,0,0,20110504, 15:10:24.8870,20110504, 15:11:00.9590,20110504, 15:10:42.9230,48.14921667,-122.6901383,48.148555,-122.69132,48.14890667,-122.6907233,64.47139,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,117.974995,5.961715,697.62645,236.664068,1.9634E-07,1.495129,3.187743,0.51263,117.414123,5.577715,695.736708,220.367634,174.796271,2.13E-07,-66.711401,92.076566,2.66503E-07,1.34484E-07,238.55189,4.59927E-07,0,-63.37311458,0,Unassigned,100,-40,1,15775.04156,15775.04156,2.025602,59.687169,61.47139,3.75,0,2171.3434,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,64.384096,61.384096,64.580649,61.580649,0,0,792,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,62.693047,1.841634,0.816919,42.905636,0.023307
558,Region 558,Schools detected,326,-65.08471,14.494915,-56.013412,-69.962715,-959.150845,0,1.084413,68.341398,424,3402,3438,3420,4.631141,4.702251,4.666844,0,0,0,20110504, 15:11:21.0000,20110504, 15:11:58.0730,20110504, 15:11:40.0360,48.148135,-122.6919917,48.14733514,-122.6932959,48.14773926,-122.6926546,68.977382,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,135.35815,6.340237,507.649361,145.760926,3.27295E-07,2.497922,8.462994,1.642618,133.39873,5.956237,502.962521,134.950619,149.171723,2.94E-07,-65.31968,111.405754,8.09354E-07,2.16305E-07,119.711283,3.36298E-07,0,-64.73276161,0,Unassigned,100,-40,1,11534.68688,11534.68688,1.084413,65.341398,65.977382,3.75,0,1393.204133,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.916012,62.916012,72.699777,69.699777,0,0,424,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,68.719998,1.901632,0.889151,19.004887,0.052618
559,Region 559,Schools detected,326,-65.52279,20.138646,-56.666086,-69.98816,-957.670443,0,1.666546,77.882797,317,3458,3475,3466,4.741907,4.775567,4.757738,0,0,0,20110504, 15:12:18.1180,20110504, 15:12:35.1540,20110504, 15:12:26.1330,48.14688729,-122.694021,48.14651996,-122.6946531,48.14671214,-122.6943152,79.046402,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,65.972016,4.63689,309.753289,110.640744,3.06572E-07,2.418894,7.733779,1.45711,63.991243,4.25289,305.023743,98.431303,75.218418,2.61E-07,-65.838498,117.593242,7.50126E-07,2.48542E-07,96.201515,4.67238E-07,0,-63.30461565,0,Unassigned,100,-40,1,16025.82533,16025.82533,1.666546,74.882797,76.046402,3.75,0,1367.552027,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.451863,74.451863,80.280928,77.280928,0,0,317,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,77.985602,1.037486,0.829653,13.685577,0.07307
560,Region 560,Schools detected,326,-64.363597,21.711073,-55.031846,-69.984654,-959.208507,0,1.37578,68.9296,378,3713,3738,3725,5.071885,5.107859,5.08874,0,0,0,20110504, 15:16:40.6760,20110504, 15:17:05.7240,20110504, 15:16:52.6990,48.14947931,-122.6950081,48.14989357,-122.6943653,48.14967807,-122.6947134,69.929462,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,69.370242,3.406694,285.405417,94.185123,4.35925E-07,2.964974,10.978204,2.271355,66.637334,3.022694,279.171601,80.27638,77.258244,3.30E-07,-64.811459,131.994987,1.32223E-06,2.71486E-07,73.138266,5.0372E-07,0,-62.97810552,0,Unassigned,100,-40,1,17277.12273,17277.12273,1.37578,65.9296,66.929462,3.75,0,1264.027072,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.480245,65.480245,70.793303,67.793303,0,0,378,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,69.259347,0.706665,0.857143,14.818998,0.067481
561,Region 561,Schools detected,326,-66.650906,9.493669,-59.332676,-69.99936,-960.621945,0,1.018668,61.063765,183,5953,5969,5961,8.422262,8.443767,8.433358,0,0,0,20110504, 15:54:42.2630,20110504, 15:54:58.2950,20110504, 15:54:50.2800,48.15706626,-122.6971379,48.15681709,-122.6975218,48.15693365,-122.69733,78.065466,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,42.119072,3.406694,216.615947,42.545421,1.68648E-07,2.12625,8.140201,0.534467,41.549452,3.022694,214.708708,37.239205,98.51198,1.93E-07,-67.135609,87.205176,2.22876E-07,1.26506E-07,16.720707,2.20263E-07,0,-66.57057762,0,Unassigned,100,-40,1,7554.821517,7554.821517,1.018668,58.063765,75.065466,3.75,0,474.651119,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,76.910738,73.910738,80.309064,77.309064,0,0,183,0,,0,0,0,14.115341,19.442575,16.375136,16.15132,19.915727,17.883656,60.973369,0.552166,0.896175,10.789552,0.092682
562,Region 562,Schools detected,326,-67.058182,10.037241,-61.300979,-69.884124,-962.476938,0,1.18288,51.589871,100,6873,6880,6876,9.444227,9.454535,9.448709,0,0,0,20110504, 16:10:24.1540,20110504, 16:10:31.1690,20110504, 16:10:27.1610,48.159387,-122.7036028,48.15950833,-122.7034217,48.15943883,-122.7035227,83.943653,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,22.197975,3.595955,153.347761,26.058328,1.20834E-07,2.055521,6.155263,0.366515,21.867959,3.211955,151.919729,22.929609,80.09803,1.77E-07,-67.511586,68.131657,1.11993E-07,6.58944E-08,9.299989,2.32875E-07,0,-66.32877503,0,Unassigned,100,-40,1,7987.382214,7987.382214,1.18288,48.589871,80.943653,3.75,0,181.689623,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,83.635623,80.635623,84.160512,81.160512,0,0,100,0,,0,0,0,30.504986,33.65163,31.203549,33.608736,33.979058,33.829543,51.622307,1.039714,0.96,6.89248,0.145086
563,Region 563,Schools detected,326,-67.428563,11.469692,-62.25373,-69.994828,-960.868878,0,1.472028,59.602498,140,6918,6926,6922,9.516031,9.527886,9.521998,0,0,0,20110504, 16:11:12.2470,20110504, 16:11:20.2640,20110504, 16:11:16.2550,48.16023232,-122.7023412,48.16037433,-122.7021366,48.16030392,-122.7022385,82.680503,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,24.602406,3.501325,163.786442,35.831014,1.01192E-07,0.829455,2.44033,-0.012172,24.615068,3.117325,163.043767,31.917746,66.277531,1.61E-07,-67.930832,62.838731,9.24321E-08,6.12649E-08,14.628616,2.66109E-07,0,-65.74940072,0,Unassigned,100,-40,1,9127.291025,9127.291025,1.472028,56.602498,79.680503,3.75,0,345.106386,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,82.337472,79.337472,83.441552,80.441552,0,0,140,0,,0,0,0,20.898409,24.14576,21.792984,23.585104,24.902803,24.263889,59.690344,0.928111,0.907143,10.104755,0.098963
564,Region 564,Schools detected,326,-66.713715,27.415203,-59.488109,-69.996349,-960.540774,0,2.984497,65.523459,410,6969,6981,6975,9.591523,9.609211,9.600509,0,0,0,20110504, 16:12:03.3520,20110504, 16:12:15.3750,20110504, 16:12:09.3630,48.16117116,-122.7010939,48.1613983,-122.7008142,48.1612843,-122.7009479,78.898661,12.1.64.44173,3,20220822, 13:50:12.2640,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,35.64737,5.110042,221.69677,106.669551,2.0864E-07,1.54492,3.235942,0.577506,34.986929,4.726042,219.607886,96.825978,39.636391,1.99E-07,-67.009881,104.805778,2.97847E-07,1.70945E-07,158.000115,6.36062E-07,0,-61.96500367,0,Unassigned,100,-40,1,21816.32541,21816.32541,2.984497,62.523459,75.898661,3.75,0,1233.371113,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.688827,74.688827,80.043436,77.043436,0,0,410,0,,0,0,0,10.444234,14.540057,11.531791,11.144513,16.432665,15.164143,65.431966,1.874745,0.739024,19.835195,0.050415
