Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
403,Region 403,Schools detected,317,-66.806735,37.306506,-56.568299,-69.997785,-964.260998,0,4.149218,48.995891,4290,2156,2253,2204,3.474704,3.591817,3.533139,0,0,0,20110603, 16:23:02.3120,20110603, 16:24:39.6700,20110603, 16:23:50.4770,48.14522983,-122.6916941,48.14657702,-122.6896186,48.14589583,-122.6906451,69.713654,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,219.0747,11.942784,1803.101969,913.972047,2.17E-07,2.197415,8.432365,0.085018,219.001998,11.558784,1802.188564,884.291264,292.277417,2.02E-07,-66.94656,107.51257,4.21E-07,1.78E-07,2077.605144,8.66E-07,0,-60.62707262,0,Unassigned,100,-40,1,29687.57392,29687.57392,4.149218,45.995891,66.713654,3.75,0,7008.117358,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,62.948428,59.948428,77.987821,74.987821,0,0,4290,0,,0,0,0,10.633147,29.815539,18.488908,14.353917,33.049552,23.790042,49.032835,4.76504,0.740793,195.158161,0.005124
404,Region 404,Schools detected,317,-53.92733,435.511565,-44.511885,-69.587126,-969.357921,0,2.495979,28.698462,79,2438,2440,2439,3.819379,3.821982,3.820734,0,0,0,20110603, 16:27:45.0790,20110603, 16:27:47.0830,20110603, 16:27:46.0810,48.14921506,-122.6855673,48.14924623,-122.6855223,48.14923128,-122.6855439,61.936305,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,7.174128,3.412224,45.016424,17.760201,7.41E-06,2.770901,7.640085,8.736922,2.789456,3.028224,35.47908,6.128423,16.345044,5.68E-06,-52.458974,130.538748,3.12E-05,3.86E-06,8.468797,1.01E-05,0,-49.95492142,0,Unassigned,100,-40,1,346569.0917,346569.0917,2.495979,25.698462,58.936305,3.75,0,40.243378,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,61.801984,58.801984,62.072445,59.072445,0,0,79,0,,0,0,0,31.551584,32.580318,31.907068,33.921184,35.044702,34.655804,29.305268,0.294525,0.987342,1.737986,0.575379
405,Region 405,Schools detected,317,-60.730076,70.050226,-52.342083,-69.922615,-972.041505,0,1.922761,22.986074,142,2696,2702,2699,4.178828,4.187672,4.183412,0,0,0,20110603, 16:32:03.8780,20110603, 16:32:09.8900,20110603, 16:32:06.8840,48.15347376,-122.6795962,48.15361163,-122.679526,48.15354225,-122.6795472,24.617814,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,18.733198,4.075712,79.516446,36.953535,9.74E-07,3.002139,10.872809,4.42462,16.957234,3.691712,75.196519,30.29866,14.851222,7.89E-07,-61.030846,123.461845,2.48E-06,7.38E-07,41.13999,1.63E-06,0,-57.89082296,0,Unassigned,100,-40,1,55744.19829,55744.19829,1.922761,19.986074,21.617814,3.75,0,43.821697,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,24.095275,21.095275,25.693247,22.693247,0,0,142,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,23.012822,0.799103,0.957746,5.806996,0.172206
406,Region 406,Schools detected,317,-66.392192,13.637507,-59.082923,-69.938184,-963.801967,0,1.378676,45.956109,160,3153,3163,3158,4.930896,4.947974,4.939561,0,0,0,20110603, 16:39:43.0730,20110603, 16:39:53.0930,20110603, 16:39:48.0830,48.14781734,-122.6923757,48.14761526,-122.6926746,48.14771385,-122.6925259,69.065162,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,34.797915,4.454848,256.731667,47.754108,1.66E-07,2.420086,8.75399,0.745833,34.199685,4.070848,254.767206,42.887587,120.433018,2.12E-07,-66.742724,78.555467,1.86E-07,1.12E-07,22.789702,3.16E-07,0,-64.99756853,0,Unassigned,100,-40,1,10852.38311,10852.38311,1.378676,42.956109,66.065162,3.75,0,227.641007,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.232816,65.232816,69.911519,66.911519,0,0,160,0,,0,0,0,20.361757,25.159167,22.029377,23.196112,25.676471,24.605779,45.955598,1.26694,0.98125,9.965308,0.100348
407,Region 407,Schools detected,317,-65.341052,56.133167,-53.298975,-69.999284,-964.214922,0,4.454848,48.305832,2679,3171,3227,3199,4.961327,5.050583,5.010526,0,0,0,20110603, 16:40:01.1080,20110603, 16:40:57.3340,20110603, 16:40:29.2440,48.14745833,-122.69291,48.1464291,-122.6944891,48.146835,-122.6937033,76.669271,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,167.595386,10.994944,992.741001,751.199267,3.59E-07,3.859576,27.175377,1.39906,166.415785,10.610944,989.613799,719.860954,108.261242,2.84E-07,-65.473612,126.631336,9.61E-07,2.81E-07,2333.987788,1.30E-06,0,-58.85272286,0,Unassigned,100,-40,1,44669.35533,44669.35533,4.454848,45.305832,73.669271,3.75,0,4244.5102,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,71.327711,68.327711,80.714061,77.714061,0,0,2679,0,,0,0,0,22.400503,30.415476,25.950516,24.110975,33.914023,31.040583,48.183455,3.291703,0.774916,101.245595,0.009877
408,Region 408,Schools detected,317,-66.911695,29.859368,-58.285889,-69.996529,-964.163288,0,3.402188,48.950606,3051,3421,3505,3463,5.199483,5.271896,5.234044,0,0,0,20110603, 16:44:14.9660,20110603, 16:45:41.1550,20110603, 16:44:57.0540,48.14791677,-122.6970157,48.14874,-122.6958617,48.14820721,-122.6963429,79.348487,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,136.391035,7.772288,1089.427221,467.581999,1.98E-07,1.809283,5.174409,0.0082,136.384029,7.388288,1088.645209,444.45767,212.193688,1.94E-07,-67.131282,102.529956,3.33E-07,1.46E-07,952.667794,6.93E-07,0,-61.59411218,0,Unassigned,100,-40,1,23761.33032,23761.33032,3.402188,45.950606,76.348487,3.75,0,4968.491259,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.218949,74.218949,80.368523,77.368523,0,0,3051,0,,0,0,0,26.751115,30.999069,28.413988,30.002213,35.512171,32.724987,49.007336,2.227571,0.756473,148.314101,0.006742
409,Region 409,Schools detected,317,-66.634336,19.713764,-57.836871,-69.993045,-964.236158,0,2.107227,47.090007,1534,3517,3585,3551,5.286965,5.364828,5.323008,0,0,0,20110603, 16:45:53.2060,20110603, 16:47:01.4090,20110603, 16:46:27.3220,48.14889167,-122.6955633,48.14979675,-122.6941855,48.14934072,-122.6949705,71.999169,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,146.492056,8.625344,1025.545123,306.429015,1.85E-07,1.728774,5.717365,0.278163,146.26344,8.241344,1024.319892,292.329883,285.619685,2.08E-07,-66.825022,88.964816,2.58E-07,1.08E-07,354.873355,4.57E-07,0,-63.39722288,0,Unassigned,100,-40,1,15687.71467,15687.71467,2.107227,44.090007,68.999169,3.75,0,2301.250871,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.797063,65.797063,75.383262,72.383262,0,0,1534,0,,0,0,0,18.371416,26.798905,23.013131,21.414137,30.545058,26.135509,47.237285,3.118687,0.825293,84.315324,0.01186
410,Region 410,Schools detected,317,-62.491032,37.696846,-53.421872,-69.976991,-981.759736,0,1.552088,10.495171,131,4007,4014,4010,5.918885,5.931825,5.924385,0,0,0,20110603, 16:54:09.7730,20110603, 16:54:16.7970,20110603, 16:54:12.7830,48.15627908,-122.6845609,48.15640583,-122.6843007,48.15633481,-122.6844523,32.49559,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,27.375093,3.696576,121.33681,42.415919,8.35E-07,2.707321,7.908451,3.310622,26.7685,3.312576,119.355624,37.167515,30.500881,5.11E-07,-62.918681,163.536699,1.57E-06,8.60E-07,34.640202,8.75E-07,0,-60.58186817,0,Unassigned,100,-40,1,29998.19706,29998.19706,1.552088,7.495171,29.49559,3.75,0,5.7501,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,31.317752,28.317752,33.616053,30.616053,0,0,131,0,,0,0,0,20.173754,22.278562,21.249382,22.168547,23.87033,23.109518,10.654162,0.749067,0.89313,3.905141,0.256073
411,Region 411,Schools detected,317,-66.757157,7.585668,-61.457751,-69.965997,-971.003455,0,0.834099,24.992042,88,4381,4390,4385,6.581005,6.593403,6.586633,0,0,0,20110603, 17:00:26.8440,20110603, 17:00:35.8660,20110603, 17:00:30.8540,48.15383951,-122.692484,48.15370128,-122.692713,48.15377589,-122.6925869,69.628266,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,25.415355,3.412224,128.194165,21.133273,1.24E-07,1.840625,4.620892,0.312294,25.279134,3.028224,127.153723,18.654484,68.970768,1.88E-07,-67.257742,66.13862,1.30E-07,6.31E-08,6.089633,1.76E-07,0,-67.54498003,0,Unassigned,100,-40,1,6036.482795,6036.482795,0.834099,21.992042,66.628266,3.75,0,32.848598,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.728377,65.728377,70.53046,67.53046,0,0,88,0,,0,0,0,42.743186,46.91494,44.03176,43.406745,47.021907,45.406128,24.887325,0.999845,0.977273,6.208759,0.161063
412,Region 412,Schools detected,317,-64.823046,7.584401,-56.020698,-69.993968,-973.088431,0,0.534237,20.793403,62,4382,4392,4387,6.582291,6.596166,6.589377,0,0,0,20110603, 17:00:27.8470,20110603, 17:00:37.8700,20110603, 17:00:32.8590,48.15382526,-122.6925079,48.15367065,-122.6927643,48.15374483,-122.6926369,69.907494,12.1.64.44173,3,20220822, 13:38:51.8110,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,28.267609,3.033088,87.805884,14.933463,4.58E-07,3.702872,14.8431,1.887416,27.582579,2.649088,85.667823,12.726756,45.888926,2.91E-07,-65.359207,157.209518,3.09E-07,3.85E-07,4.824213,1.76E-07,0,-67.54570533,0,Unassigned,100,-40,1,6035.474744,6035.474744,0.534237,17.793403,66.907494,3.75,0,15.156512,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.951746,65.951746,70.806018,67.806018,0,0,62,0,,0,0,0,48.348883,48.815619,48.54094,48.621052,50.45458,49.273362,21.148592,0.672568,0.983871,2.026692,0.493415
