Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
844,Region 844,Schools detected,318,-67.136197,100.239615,-50.922753,-69.999898,-965.210327,0,12.027275,43.814599,56086,25534,25975,25754,28.791996,29.51918,29.150103,0,0,0,20110604, 22:15:10.1770,20110604, 22:22:34.2010,20110604, 22:18:52.2180,48.17002255,-122.7354681,48.17853559,-122.722663,48.17415653,-122.7290877,70.468192,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,1349.834523,52.60512,43719.52142,16130.11389,2.04E-07,5.588968,133.328397,-0.303713,1350.066776,52.22112,43719.21793,16015.12448,9497.396872,1.92E-07,-67.167268,106.061523,3.73E-07,1.61E-07,46896.86588,2.33E-06,0,-56.33452443,0,Unassigned,100,-40,1,79768.15139,79768.15139,12.027275,40.814599,67.468192,3.75,0,75731.49656,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,60.873487,57.873487,78.615978,75.615978,0,0,56086,0,,0,0,0,3.841415,26.079647,15.128982,19.457766,55.358919,39.531788,42.459804,109.97693,0.747406,2520.767542,0.000397
845,Region 845,Schools detected,318,-62.831671,25.54118,-55.346531,-69.987482,-979.83462,0,1.137408,12.018021,84,25579,25585,25582,28.856698,28.867784,28.861308,0,0,0,20110604, 22:15:55.3200,20110604, 22:16:02.3330,20110604, 22:15:58.3260,48.17074305,-122.7342908,48.17085807,-122.7340751,48.17078902,-122.7341989,68.593414,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,23.253161,3.033088,97.377274,25.400028,5.19E-07,2.096134,5.630598,3.139934,22.594383,2.649088,95.291716,21.555795,33.5225,4.61E-07,-63.362112,112.578535,1.30E-06,3.88E-07,12.753823,5.93E-07,0,-62.27250871,0,Unassigned,100,-40,1,20325.02548,20325.02548,1.137408,9.018021,65.593414,3.75,0,5.315086,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.491267,65.491267,68.74278,65.74278,0,0,84,0,,0,0,0,55.096801,57.527162,55.864514,56.344611,58.072765,57.67895,11.884251,0.856656,0.940476,4.019325,0.248798
846,Region 846,Schools detected,318,-66.717711,11.545585,-62.052546,-69.958818,-966.564899,0,1.258042,36.657409,146,25593,25603,25598,28.880907,28.897556,28.889293,0,0,0,20110604, 22:16:10.3620,20110604, 22:16:20.3830,20110604, 22:16:15.3730,48.17100124,-122.7338284,48.17119857,-122.7335376,48.1710985,-122.7336788,68.845979,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,34.132612,3.31744,254.238737,43.011003,1.20E-07,1.360521,2.054215,0.373649,33.893553,2.93344,252.99262,37.766025,134.866647,1.89E-07,-67.230218,63.178832,1.21E-07,7.77E-08,12.730181,2.68E-07,0,-65.72075905,0,Unassigned,100,-40,1,9187.68432,9187.68432,1.258042,33.657409,65.845979,3.75,0,127.503019,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.722992,65.722992,68.938402,65.938402,0,0,146,0,,0,0,0,30.522378,32.639935,31.16796,32.587168,33.9235,33.279058,36.709357,0.763606,0.972603,10.538925,0.094886
847,Region 847,Schools detected,318,-66.310993,11.972757,-61.613087,-69.965997,-969.85211,0,1.187959,27.501664,188,25709,25723,25716,29.075945,29.099219,29.087622,0,0,0,20110604, 22:18:07.1250,20110604, 22:18:21.1540,20110604, 22:18:14.1400,48.17332211,-122.7304459,48.17359722,-122.7300384,48.17346308,-122.7302459,65.224456,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,46.069223,5.307904,341.092948,54.756743,1.31E-07,1.208426,1.074128,0.645826,45.759226,4.923904,339.704956,50.453572,182.012823,2.18E-07,-66.615996,60.016176,1.36E-07,7.36E-08,17.845981,2.78E-07,0,-65.56297673,0,Unassigned,100,-40,1,9527.617152,9527.617152,1.187959,24.501664,62.224456,3.75,0,87.20746,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,63.918844,60.918844,67.29619,64.29619,0,0,188,0,,0,0,0,35.025976,38.277982,36.2568,36.511964,40.456626,38.879157,27.521492,1.70255,0.984043,13.588802,0.07359
848,Region 848,Schools detected,318,-65.128015,8.587604,-58.36422,-69.996469,-971.660603,0,0.648906,23.373235,89,25719,25731,25725,29.092501,29.112454,29.102509,0,0,0,20110604, 22:18:17.1460,20110604, 22:18:29.1710,20110604, 22:18:23.1580,48.17352029,-122.7301597,48.17374314,-122.7297915,48.17363381,-122.7299774,67.744755,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,39.974019,3.980928,172.106287,25.84237,2.57E-07,2.444093,7.237397,1.627077,39.310224,3.596928,170.010699,22.961882,100.16942,2.80E-07,-65.528557,91.78085,1.70E-07,1.58E-07,7.406099,1.99E-07,0,-67.00619812,0,Unassigned,100,-40,1,6833.798333,6833.798333,0.648906,20.373235,64.744755,3.75,0,28.560723,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.045413,63.045413,69.373077,66.373077,0,0,89,0,,0,0,0,42.73283,43.956661,43.232433,43.295088,46.365878,44.654193,23.474632,1.327203,1,4.983888,0.200647
849,Region 849,Schools detected,318,-66.633793,10.008677,-60.426878,-69.907217,-970.210704,0,1.069705,27.552655,79,25728,25734,25731,29.107486,29.117364,29.112454,0,0,0,20110604, 22:18:26.1640,20110604, 22:18:32.1770,20110604, 22:18:29.1710,48.17368911,-122.7298852,48.17379662,-122.7296991,48.17374314,-122.7297915,69.456876,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,21.406713,3.412224,92.912449,22.89829,1.67E-07,1.765003,4.204243,0.509083,21.161902,3.028224,91.654826,20.088995,33.27688,1.94E-07,-67.121442,86.185541,3.00E-07,1.01E-07,10.514935,2.32E-07,0,-66.34115168,0,Unassigned,100,-40,1,7964.651953,7964.651953,1.069705,24.552655,66.456876,3.75,0,36.739558,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.439117,65.439117,70.391001,67.391001,0,0,79,0,,0,0,0,40.035364,42.036281,41.142778,42.229014,43.47235,42.740565,27.575633,0.785633,0.911392,4.721637,0.211791
850,Region 850,Schools detected,318,-66.524866,7.966074,-59.743679,-69.913921,-967.519835,0,0.830308,34.598995,219,25758,25782,25770,29.156733,29.196347,29.176464,0,0,0,20110604, 22:18:56.2260,20110604, 22:19:20.2730,20110604, 22:19:08.2490,48.17423515,-122.7289719,48.17473611,-122.7283328,48.17447363,-122.7286345,78.047882,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,76.476046,3.222656,260.94983,63.756163,1.72E-07,1.839434,4.530815,0.413206,76.226524,2.838656,259.682786,55.975976,95.868247,1.97E-07,-67.063468,87.640936,3.01E-07,1.26E-07,29.987373,1.85E-07,0,-67.33247479,0,Unassigned,100,-40,1,6339.200539,6339.200539,0.830308,31.598995,75.047882,3.75,0,168.552931,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.144665,74.144665,78.615978,75.615978,0,0,219,0,,0,0,0,41.112441,44.377429,42.845966,41.775929,45.609621,43.801389,34.532961,0.47482,0.913242,13.000934,0.076918
851,Region 851,Schools detected,318,-65.8141,24.921914,-56.045768,-69.986881,-972.435324,0,2.205462,22.357695,954,25818,25858,25838,29.256094,29.322425,29.289062,0,0,0,20110604, 22:19:56.3480,20110604, 22:20:36.4770,20110604, 22:20:16.3880,48.17547995,-122.7273495,48.176245,-122.7261617,48.1758508,-122.7267446,75.136568,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,125.908902,10.615808,1303.884729,278.225749,2.45E-07,3.394711,19.865022,0.990583,125.522352,10.231808,1302.343628,267.338359,504.870549,2.53E-07,-65.962249,96.497535,3.41E-07,1.82E-07,163.803257,5.78E-07,0,-62.37910433,0,Unassigned,100,-40,1,19832.22941,19832.22941,2.205462,19.357695,72.136568,3.75,0,280.473597,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,73.589854,70.589854,75.887902,72.887902,0,0,954,0,,0,0,0,47.416508,53.007422,49.722463,47.820471,57.729644,54.207365,22.238063,6.863197,0.912998,48.384683,0.020668
852,Region 852,Schools detected,318,-65.482538,11.4448,-60.896892,-69.970185,-975.179932,0,0.938362,17.261641,99,25827,25836,25831,29.270899,29.285691,29.277397,0,0,0,20110604, 22:20:05.3660,20110604, 22:20:14.3840,20110604, 22:20:09.3740,48.17564363,-122.7270739,48.17581064,-122.7268033,48.17571718,-122.7269552,75.7481,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,30.549056,3.31744,158.485493,28.720223,1.64E-07,1.284775,1.297201,1.346347,30.14342,2.93344,156.906221,25.058592,78.183264,2.52E-07,-65.982552,65.121636,1.94E-07,7.02E-08,8.332794,2.66E-07,0,-65.75883624,0,Unassigned,100,-40,1,9107.482523,9107.482523,0.938362,14.261641,72.7481,3.75,0,15.576043,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,75.578549,72.578549,75.887902,72.887902,0,0,99,0,,0,0,0,56.907932,58.219908,57.440484,57.485209,60.02278,59.393034,17.242058,0.809142,1,7.037063,0.142105
853,Region 853,Schools detected,318,-66.889864,7.524593,-61.183959,-69.988116,-967.253286,0,0.853056,34.649802,153,25917,25933,25925,29.422026,29.448857,29.435441,0,0,0,20110604, 22:21:36.0780,20110604, 22:21:52.1140,20110604, 22:21:44.0960,48.1774091,-122.7243974,48.17771645,-122.7239129,48.17756277,-122.7241552,70.084413,12.1.64.44173,3,20220822, 13:39:37.8090,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,0.031642,-9999,-999,1,-70,1,-34,1,6.75,1,0,52.800813,3.980928,259.421817,45.003826,1.21E-07,1.673043,3.93512,0.099704,52.740516,3.596928,258.533224,40.616325,130.955046,1.85E-07,-67.32481,65.330845,1.07E-07,7.34E-08,15.355539,1.75E-07,0,-67.58008815,0,Unassigned,100,-40,1,5987.880922,5987.880922,0.853056,31.649802,67.084413,3.75,0,118.181382,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,69.381409,66.381409,70.513772,67.513772,0,0,153,0,,0,0,0,33.609508,35.890665,34.754706,35.434433,37.140277,36.299127,34.711,0.858037,0.96732,10.765665,0.092888
