Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
317,Region 317,Schools detected,280,-70.415675,13.32443,-47.91547,-69.998283,-971.098567,0,3.401921,40.751531,1651,3406,3451,3428,6.933511,7.0028,6.96594,0,0,0,20110606, 18:15:29.7850,20110606, 18:16:14.9160,20110606, 18:15:51.8430,48.15034268,-122.6880827,48.14958436,-122.6893769,48.15000475,-122.6887105,60.103416,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,131.460133,9.857536,1164.622902,433.015339,7.03994E-07,18.217699,367.06428,-9999,-9999,9.473536,-9999,-9999,-1,-1.00E+00,-1,-1,3.76176E-05,1.25628E-05,-9999,3.09141E-07,0,-65.09843191,0,Unassigned,100,-40,1,10603.24459,10603.24459,3.401921,37.751531,57.103416,3.75,0,1819.639946,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,58.526637,55.526637,61.24504,58.24504,0,0,1651,0,,0,0,0,14.365385,19.776732,17.15196,19.082189,25.008374,22.140483,39.748181,4.72634,0.24894,2.566204,0.389681
318,Region 318,Schools detected,280,-75.994771,3.890513,-64.479847,-69.999546,-971.211421,0,3.589154,46.489558,1704,3479,3523,3501,7.052217,7.1316,7.093496,0,0,0,20110606, 18:16:42.9850,20110606, 18:17:28.1460,20110606, 18:17:06.0460,48.14898313,-122.6902155,48.14805204,-122.6916128,48.14848598,-122.6909227,65.261171,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,150.107225,12.32192,1880.31738,533.842094,5.99913E-08,2.411831,5.373799,-9999,-9999,11.93792,-9999,-9999,-1,-1.00E+00,-1,-1,2.79726E-07,1.42098E-07,-9999,9.02641E-08,0,-70.44484945,0,Unassigned,100,-40,1,3095.972008,3095.972008,3.589154,43.489558,62.261171,3.75,0,2491.536469,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,64.999338,61.999338,65.859517,62.859517,0,0,1704,0,,0,0,0,12.711199,16.841885,15.057686,16.116514,25.221278,20.97642,46.950695,5.312051,0.167254,24.153478,0.041402
319,Region 319,Schools detected,280,-75.915353,1.098704,-66.441844,-69.999124,-972.027874,0,0.995232,40.696951,126,3505,3516,3510,7.100405,7.119834,7.10939,0,0,0,20110606, 18:17:10.0650,20110606, 18:17:21.1050,20110606, 18:17:15.0750,48.14840394,-122.6910429,48.14817942,-122.6913904,48.14829743,-122.6911997,65.20482,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,39.051788,3.31744,183.328061,39.184125,5.19256E-08,1.740691,1.751565,-9999,-9999,2.93344,-9999,-9999,-1,-1.00E+00,-1,-1,1.96642E-07,7.25595E-08,-9999,2.54911E-08,0,-75.93610953,0,Unassigned,100,-40,1,874.321217,874.321217,0.995232,37.696951,62.20482,3.75,0,138.012371,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.046271,62.046271,65.347939,62.347939,0,0,126,0,,0,0,0,22.36393,25.317471,23.912085,25.20745,25.808707,25.515514,40.824345,0.709072,0.206349,2.35219,0.425136
320,Region 320,Schools detected,280,-66.982597,9.002433,-58.623486,-69.996148,-982.202685,0,1.042624,12.292809,143,3511,3523,3517,7.111158,7.1316,7.121491,0,0,0,20110606, 18:17:16.0760,20110606, 18:17:28.1460,20110606, 18:17:22.1120,48.1482771,-122.6912315,48.14805204,-122.6916128,48.14816192,-122.6914223,65.48339,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,40.947217,3.507008,229.251197,42.404766,3.18654E-07,2.102756,3.744554,-0.079012,40.964169,3.123008,228.517102,37.777287,110.001037,1.78E-07,-67.484436,178.551258,1.3012E-06,3.40588E-07,14.218861,2.08866E-07,0,-66.80131952,0,Unassigned,100,-40,1,7163.908295,7163.908295,1.042624,9.292809,62.48339,3.75,0,9.62653,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.211915,62.211915,65.859517,62.859517,0,0,143,0,,0,0,0,51.541453,52.385885,51.900391,52.547032,55.357089,53.905438,12.107983,1.065563,0.531469,3.858795,0.259148
321,Region 321,Schools detected,280,-72.670641,3.600396,-62.888535,-69.99938,-975.548568,0,1.544979,25.373094,163,3533,3542,3537,7.148597,7.164843,7.15556,0,0,0,20110606, 18:17:38.1680,20110606, 18:17:47.2030,20110606, 18:17:42.1760,48.14786233,-122.6919261,48.14766985,-122.6922097,48.14778208,-122.692051,67.445392,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,33.585667,4.075712,227.023408,51.475858,8.69977E-08,1.728946,3.959762,-9999,-9999,3.691712,-9999,-9999,-1,-1.00E+00,-1,-1,5.7308E-08,8.22437E-08,-9999,8.35331E-08,0,-70.78141512,0,Unassigned,100,-40,1,2865.104446,2865.104446,1.544979,22.373094,64.445392,3.75,0,62.991261,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.767451,63.767451,68.246845,65.246845,0,0,163,0,,0,0,0,39.90407,43.399133,40.967395,42.298876,44.157405,43.393866,25.623499,1.017497,0.325153,4.323814,0.231277
322,Region 322,Schools detected,280,-74.852061,1.136161,-65.75341,-69.729089,-970.529419,0,0.805664,46.059814,102,3542,3553,3547,7.164843,7.185705,7.174398,0,0,0,20110606, 18:17:47.2030,20110606, 18:17:58.2530,20110606, 18:17:52.2410,48.14766985,-122.6922097,48.14741458,-122.6925612,48.14755121,-122.692368,69.228751,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,41.746542,3.033088,170.976747,34.143517,6.71184E-08,1.788956,1.849123,-9999,-9999,2.649088,-9999,-9999,-1,-1.00E+00,-1,-1,1.14923E-07,8.76819E-08,-9999,2.63602E-08,0,-75.79052136,0,Unassigned,100,-40,1,904.127823,904.127823,0.805664,43.059814,66.228751,3.75,0,145.742431,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,68.246845,65.246845,70.216126,67.216126,0,0,102,0,,0,0,0,20.877573,24.705502,22.722895,22.357086,25.283335,23.899796,46.267781,0.36541,0.205882,1.871125,0.534438
323,Region 323,Schools detected,280,-73.305231,8.236905,-56.743285,-69.996027,-969.851349,0,4.090678,47.568766,1640,3556,3593,3574,7.190679,7.249216,7.217577,0,0,0,20110606, 18:18:01.2590,20110606, 18:18:38.3380,20110606, 18:18:19.2990,48.14736216,-122.692657,48.14675054,-122.6937876,48.14709746,-122.6931957,74.230437,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,111.657902,13.080192,1729.945163,459.490648,1.48383E-07,8.41529,96.167168,-9999,-9999,12.696192,-9999,-9999,-1,-1.00E+00,-1,-1,6.66823E-06,1.09058E-06,-9999,1.91105E-07,0,-67.18727789,0,Unassigned,100,-40,1,6554.720556,6554.720556,4.090678,44.568766,71.230437,3.75,0,2520.157682,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,70.710095,67.710095,77.975505,74.975505,0,0,1640,0,,0,0,0,19.009518,32.35101,22.785835,21.960553,34.973688,30.468328,48.217542,9.404393,0.220122,14.026805,0.071292
324,Region 324,Schools detected,280,-69.683966,4.349761,-62.83891,-69.914208,-977.971942,0,0.938362,17.964383,99,3569,3578,3573,7.210145,7.224189,7.216061,0,0,0,20110606, 18:18:14.2890,20110606, 18:18:23.3070,20110606, 18:18:18.2970,48.14717369,-122.6930504,48.14702398,-122.6933182,48.1471141,-122.6931674,73.984337,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,29.286251,3.033088,171.206148,27.623798,1.34851E-07,1.03396,0.142093,-4.994318,30.85315,2.649088,173.571946,25.417363,94.32324,9.90E-08,-70.045495,136.271171,1.98799E-08,9.85311E-08,8.705468,1.00919E-07,0,-69.96026418,0,Unassigned,100,-40,1,3461.429995,3461.429995,0.938362,14.964383,70.984337,3.75,0,17.123403,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,72.987791,69.987791,75.124696,72.124696,0,0,99,0,,0,0,0,54.36395,57.480568,55.316542,55.208104,58.112037,56.852043,18.072723,0.455959,0.474747,3.670782,0.272422
325,Region 325,Schools detected,280,-75.527338,1.516034,-63.244402,-69.791513,-973.178518,0,1.255888,39.37798,159,3587,3598,3592,7.239114,7.257788,7.247539,0,0,0,20110606, 18:18:32.3250,20110606, 18:18:43.3490,20110606, 18:18:37.3350,48.14686243,-122.6936,48.14665362,-122.6939442,48.14676949,-122.6937569,77.785109,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,37.640736,4.549632,252.732498,47.537647,6.67509E-08,3.080108,13.060275,-9999,-9999,4.165632,-9999,-9999,-1,-1.00E+00,-1,-1,1.52702E-07,2.2921E-07,-9999,3.51736E-08,0,-74.53782877,0,Unassigned,100,-40,1,1206.42157,1206.42157,1.255888,36.37798,74.785109,3.75,0,162.282972,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,76.618912,73.618912,78.777372,75.777372,0,0,159,0,,0,0,0,36.024654,38.406656,37.250645,38.157445,40.574286,39.2964,38.503121,1.398169,0.18239,2.268069,0.440904
326,Region 326,Schools detected,280,-74.878801,1.387497,-65.344376,-69.969603,-972.150863,0,0.989966,40.110961,94,3606,3614,3610,7.271449,7.284867,7.278272,0,0,0,20110606, 18:18:51.3670,20110606, 18:18:59.3840,20110606, 18:18:55.3750,48.14649996,-122.6941948,48.14635629,-122.6944504,48.14642595,-122.6943235,80.420131,12.1.64.44173,3,20220802, 14:34:41.7580,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,0.031642,-9999,-999,1,-70,1,-39,1,6.75,1,0,27.889357,3.033088,126.158138,27.604969,6.67571E-08,1.927563,2.83387,-9999,-9999,2.649088,-9999,-9999,-1,-1.00E+00,-1,-1,-9.90E+37,4.17762E-08,-9999,3.21914E-08,0,-74.92259702,0,Unassigned,100,-40,1,1104.135231,1104.135231,0.989966,37.110961,77.420131,3.75,0,99.779455,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -75.00__Maximum data threshold:  -39.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,79.906802,76.906802,80.982315,77.982315,0,0,94,0,,0,0,0,39.160853,40.651922,39.690834,40.305675,41.595408,40.933557,40.043841,0.227345,0.212766,1.723428,0.580239
