Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
621,Region 621,Schools detected,290,-63.620984,13.415349,-52.469403,-69.991647,-958.962485,0,0.716487,67.184408,106,5412,5425,5418,7.749825,7.776376,7.761906,0,0,0,20110506, 15:29:48.8440,20110506, 15:30:01.8710,20110506, 15:29:54.8560,48.14785636,-122.6923075,48.14755741,-122.6927938,48.14772264,-122.6925318,68.193111,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,60.689173,3.406694,253.249115,40.001146,8.72982E-07,4.698373,22.993914,2.787743,57.419651,3.022694,245.942071,33.580165,143.341834,3.93E-07,-64.052409,221.945484,4.68803E-06,8.6474E-07,9.871286,3.11251E-07,0,-65.06889859,0,Unassigned,100,-40,1,10675.59553,10675.59553,0.716487,64.184408,65.193111,3.75,0,335.954318,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,66.864666,63.864666,69.531577,66.531577,0,0,106,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,67.357898,0.512589,0.981132,2.00605,0.498492
622,Region 622,Schools detected,290,-63.159209,26.692862,-51.104497,-69.999178,-957.670959,0,1.281812,75.248722,447,5436,5468,5452,7.803775,7.871338,7.837183,0,0,0,20110506, 15:30:14.8940,20110506, 15:30:46.9650,20110506, 15:30:30.9290,48.14724207,-122.693286,48.146485,-122.6945267,48.14686915,-122.6939018,76.349571,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,129.251889,8.138214,615.372685,165.881231,7.51141E-07,5.279022,39.80777,2.957787,125.366452,7.754214,606.833811,153.302897,191.152206,4.67E-07,-63.309355,160.937371,2.15245E-06,3.85845E-07,118.394417,6.19303E-07,0,-62.08096686,0,Unassigned,100,-40,1,21241.50499,21241.50499,1.281812,72.248722,73.349571,3.75,0,1796.33653,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,72.667931,69.667931,79.815443,76.815443,0,0,447,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,75.060538,3.736755,0.923937,12.398678,0.080654
623,Region 623,Schools detected,290,-66.806153,18.040272,-58.456455,-69.989791,-958.123594,0,2.006164,77.033223,848,5596,5635,5615,8.047259,8.091457,8.069354,0,0,0,20110506, 15:33:03.2300,20110506, 15:33:42.3120,20110506, 15:33:22.2720,48.14797674,-122.6973103,48.14842472,-122.6964484,48.1482082,-122.6968895,78.798617,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,83.774267,4.73152,460.781621,170.621446,1.90775E-07,1.518898,3.791521,0.247773,83.441139,4.34752,459.347366,156.150765,107.529711,1.92E-07,-67.159366,99.187543,2.95316E-07,1.28007E-07,221.66221,4.18554E-07,0,-63.78248748,0,Unassigned,100,-40,1,14355.9925,14355.9925,2.006164,74.033223,75.798617,3.75,0,3575.841553,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,78.357015,75.357015,79.161206,76.161206,0,0,848,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,77.137739,1.210668,0.773585,43.727777,0.022869
624,Region 624,Schools detected,290,-67.158958,18.422653,-60.736289,-69.991871,-964.480026,0,2.222062,46.113849,634,5999,6025,6012,8.632045,8.669806,8.650959,0,0,0,20110506, 15:39:59.0950,20110506, 15:40:25.1490,20110506, 15:40:12.1220,48.15464582,-122.6868901,48.15509882,-122.6862485,48.15486205,-122.6865529,51.692682,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,72.745292,6.908019,659.791464,159.669927,1.39269E-07,0.905725,1.40668,-0.189666,72.897943,6.524019,659.328765,151.110695,228.928035,1.82E-07,-67.398237,76.502771,1.44195E-07,7.63317E-08,141.226374,4.27425E-07,0,-63.6913965,0,Unassigned,100,-40,1,14660.28185,14660.28185,2.222062,43.113849,48.692682,3.75,0,907.870654,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,47.380483,44.380483,56.21746,53.21746,0,0,634,0,,0,0,0,0.095424,11.343508,3.63284,0.943317,12.620452,7.922751,46.022856,3.089843,0.834385,39.383392,0.025391
625,Region 625,Schools detected,290,-67.47608,6.442272,-63.836562,-69.973951,-961.322528,0,0.835902,55.719846,53,6414,6419,6416,9.292416,9.301001,9.295773,0,0,0,20110506, 15:47:00.9740,20110506, 15:47:05.9840,20110506, 15:47:02.9780,48.155465,-122.69028,48.15536333,-122.69043,48.155425,-122.6903383,63.586329,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,19.357403,3.217434,84.17047,16.219841,6.98269E-08,1.31124,1.531145,0.072347,19.287046,2.833434,83.261756,14.232089,38.762575,1.58E-07,-68.014597,44.206147,2.26972E-08,3.52678E-08,9.27111,1.49468E-07,0,-68.2545275,0,Unassigned,100,-40,1,5126.597491,5126.597491,0.835902,52.719846,60.586329,3.75,0,113.340698,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,63.201427,60.201427,63.812192,60.812192,0,0,53,0,,0,0,0,6.520605,7.865047,7.072838,7.918132,9.759091,8.807729,55.682361,0.858653,1,4.362669,0.229217
657,Region 657,Schools detected,290,-64.714029,118.849929,-52.233563,-69.999646,-964.959549,0,8.164132,44.682899,13545,16045,16201,16123,25.854879,26.168328,26.009601,0,0,0,20110506, 18:31:35.5210,20110506, 18:34:13.8550,20110506, 18:32:55.6870,48.15040972,-122.6878449,48.14687628,-122.6935523,48.14871519,-122.690738,65.99908,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,584.120619,22.522035,7329.748215,4756.503765,4.2851E-07,3.613208,22.488856,1.828622,582.694422,22.138035,7326.127821,4663.989988,915.759663,3.33E-07,-64.778734,128.775765,1.14296E-06,3.40037E-07,21546.14908,2.75745E-06,0,-55.59492908,0,Unassigned,100,-40,1,94577.76842,94577.76842,8.164132,41.682899,62.99908,3.75,0,18265.75704,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,57.948685,54.948685,77.130307,74.130307,0,0,13545,0,,0,0,0,2.486996,38.028809,15.527468,12.699048,38.501961,26.252649,44.098308,13.222309,0.798745,491.190275,0.002036
658,Region 658,Schools detected,290,-67.175598,12.270502,-62.155126,-69.975903,-965.609911,0,1.485697,41.749039,157,16200,16209,16204,26.16637,26.186313,26.174249,0,0,0,20110506, 18:34:12.8530,20110506, 18:34:22.8720,20110506, 18:34:16.8620,48.14689851,-122.6935166,48.14667577,-122.6938846,48.14681076,-122.6936623,77.953899,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,40.751671,3.406694,199.551561,66.57509,1.32065E-07,0.652636,0.405514,-0.112188,40.833418,3.022694,198.947054,59.189291,53.213524,1.70E-07,-67.686285,77.520257,1.34314E-07,6.86949E-08,75.786246,2.84689E-07,0,-65.45629514,0,Unassigned,100,-40,1,9764.555003,9764.555003,1.485697,38.749039,74.953899,3.75,0,181.401276,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,76.878454,73.878454,79.250273,76.250273,0,0,157,0,,0,0,0,33.865072,37.877646,35.190205,35.221936,38.23394,37.281537,41.719797,0.665568,0.847134,10.09323,0.099076
659,Region 659,Schools detected,290,-63.629772,171.276997,-52.086936,-69.984276,-964.096595,0,9.166096,47.739124,2809,16202,16230,16216,26.170279,26.225282,26.200283,0,0,0,20110506, 18:34:14.8570,20110506, 18:34:45.9170,20110506, 18:34:29.8850,48.14685397,-122.6935875,48.14635333,-122.6946999,48.14652273,-122.6941463,80.111154,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,104.307783,14.762342,976.608437,915.832741,5.41785E-07,3.102274,15.906977,2.639839,102.107867,14.378342,971.440605,873.196934,86.002374,4.27E-07,-63.697153,126.923594,1.38383E-06,4.35183E-07,5467.357686,3.97381E-06,0,-54.00792795,0,Unassigned,100,-40,1,136297.9034,136297.9034,9.166096,44.739124,77.111154,3.75,0,4350.266846,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.156657,74.156657,81.967824,78.967824,0,0,2809,0,,0,0,0,24.424004,28.869262,26.922779,31.983531,41.141857,37.570331,47.811211,9.522139,0.805981,103.786706,0.009635
660,Region 660,Schools detected,290,-66.876393,12.978215,-61.618134,-69.979121,-967.800802,0,1.466771,33.770143,186,16203,16214,16208,26.172272,26.196316,26.184308,0,0,0,20110506, 18:34:15.8600,20110506, 18:34:27.8820,20110506, 18:34:21.8700,48.14683224,-122.693625,48.14656464,-122.69407,48.14669805,-122.6938474,78.930398,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,48.2309,3.974477,354.868781,72.798283,1.31789E-07,1.014727,1.52171,0.123895,48.157876,3.590477,353.954733,65.665198,151.827461,1.86E-07,-67.310736,70.949926,1.49582E-07,7.80941E-08,35.259369,3.01109E-07,0,-65.21276879,0,Unassigned,100,-40,1,10327.73513,10327.73513,1.466771,30.770143,75.930398,3.75,0,135.596996,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,77.236005,74.236005,80.136611,77.136611,0,0,186,0,,0,0,0,42.696593,46.618307,43.811264,43.149918,47.671711,46.153366,33.831769,1.02253,0.908602,12.48391,0.080103
661,Region 661,Schools detected,290,-63.263801,230.317813,-46.356424,-69.999688,-965.477953,0,11.329632,43.062176,39629,16372,16702,16537,26.368972,26.791318,26.563693,0,0,0,20110506, 18:37:17.2210,20110506, 18:42:48.9240,20110506, 18:40:02.5690,48.14792837,-122.6972066,48.15285884,-122.6898067,48.15015864,-122.693755,70.34594,12.1.64.44173,3,20220802, 15:43:47.1810,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.06_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,784.815913,27.442816,6973.71917,8704.430022,8.4914E-07,7.866634,114.148486,2.790227,782.718429,27.058816,6968.756201,8559.693477,451.484105,4.66E-07,-63.314315,182.142238,3.19554E-06,8.34189E-07,67085.73909,5.34362E-06,0,-52.72164307,0,Unassigned,100,-40,1,183281.092,183281.092,11.329632,40.062176,67.34594,3.75,0,49580.36102,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,61.171917,58.171917,80.848035,77.848035,0,0,39629,0,,0,0,0,11.104105,34.024556,21.142433,20.969116,45.239384,33.703118,42.320376,16.538133,0.781069,884.206506,0.001131
