Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Height_mean,Depth_mean,Good_samples,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Alpha,Gain_constant,Noise_Sv_1m,Minimum_Sv_threshold_applied,Minimum_integration_threshold,Maximum_Sv_threshold_applied,Maximum_integration_threshold,Exclude_above_line_applied,Exclude_above_line_depth_mean,Exclude_below_line_applied,Bottom_offset,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Skewness,Kurtosis,Attack_angle,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Image_compactness,Corrected_mean_amplitude,Corrected_MVBS,Coefficient_of_variation,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,3D_school_volume,ABC,ABC_noise,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean,Bad_data_no_data_samples,Beam_volume_sum,No_data_samples,Frequency,Region_notes,Region_detection_settings,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Samples_Below_Bottom_Exclusion,Samples_Above_Surface_Exclusion,Samples_In_Domain,Bad_data_empty_water_samples,Heave_source,Heave_min,Heave_max,Heave_mean,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
134,Region 134,School detected,287,-55.936121,169.355751,-47.584028,-69.903778,-966.511304,0,1.541417,36.851794,98,5299,5304,5301,6.683319,6.691844,6.686041,0,0,0,20110502, 17:15:17.6190,20110502, 17:15:23.6300,20110502, 17:15:19.6250,48.15453928,-122.6823784,48.15442174,-122.6824972,48.15450186,-122.6824165,38.083678,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,18.584161,3.019919,70.682597,27.519626,4.32E-06,2.084493,3.32801,6.682456,14.281225,2.635919,61.308726,18.45873,16.204398,2.37E-06,-56.247404,181.895111,2.06E-05,3.15E-06,21.557876,3.93E-06,0,-54.05691885,0,Unassigned,100,-40,1,134769.0245,134769.0245,1.541417,33.851794,35.083678,3.75,0,86.184626,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,37.503699,34.503699,38.744071,35.744071,0,0,98,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,37.133539,0.167236,0.989796,2.410053,0.414929
135,Region 135,School detected,287,-65.069944,114.586994,-54.08562,-69.99875,-964.518707,0,8.543541,47.199835,9053,5528,5627,5577,7.177426,7.375297,7.275797,0,0,0,20110502, 17:19:42.0940,20110502, 17:21:24.2970,20110502, 17:20:31.1940,48.14863301,-122.6908092,48.14648833,-122.69453,48.14752549,-122.6926093,71.906089,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,369.869119,23.404375,4125.093992,3186.524296,3.91E-07,3.082203,14.253118,1.575256,368.571353,23.020375,4121.73046,3123.245221,432.855786,3.07E-07,-65.12869,127.489061,9.86E-07,3.19E-07,19126.55235,2.66E-06,0,-55.75356509,0,Unassigned,100,-40,1,91185.43222,91185.43222,8.543541,44.199835,68.906089,3.75,0,13698.25026,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.613325,62.613325,81.469419,78.469419,0,0,9053,0,,0,0,0,14.3283,28.698656,19.594581,19.208227,43.032553,30.069926,47.035914,16.362021,0.7698,330.915426,0.003022
136,Region 136,School detected,287,-64.960639,112.406439,-52.581983,-69.999224,-964.696349,0,8.172657,46.968087,12990,5745,5894,5819,7.550512,7.809895,7.673945,0,0,0,20110502, 17:23:29.5480,20110502, 17:26:05.8610,20110502, 17:24:46.7050,48.14815458,-122.6968855,48.15119933,-122.6923364,48.14961933,-122.6947445,71.977358,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,483.610528,18.685751,4205.190632,3973.414605,4.05E-07,3.100363,15.896541,1.651389,482.256712,18.301751,4201.715,3880.864708,362.005205,3.13E-07,-65.039754,129.324418,1.03E-06,3.46E-07,24481.90097,2.61E-06,0,-55.83700643,0,Unassigned,100,-40,1,89450.20229,89450.20229,8.172657,43.968087,68.977358,3.75,0,19393.63955,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,64.657216,61.657216,80.636454,77.636454,0,0,12990,0,,0,0,0,11.911988,34.284266,19.84327,15.746514,41.644565,29.454163,47.311724,9.876976,0.755812,469.2402,0.002131
137,Region 137,School detected,287,-67.442517,7.129787,-63.739164,-69.97512,-960.022031,0,0.917987,62.557855,107,5798,5808,5803,7.634686,7.652424,7.643556,0,0,0,20110502, 17:24:24.6600,20110502, 17:24:34.6820,20110502, 17:24:29.6700,48.14917869,-122.6954646,48.14938036,-122.6951433,48.14928004,-122.6953049,73.605511,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,36.216927,3.019919,229.265175,33.506261,8.22E-08,1.156202,0.757909,-0.226952,36.464722,2.635919,228.992765,29.445847,141.712974,1.58E-07,-68.003536,51.936444,7.49E-08,5.06E-08,8.710812,1.65E-07,0,-67.81415273,0,Unassigned,100,-40,1,5673.704299,5673.704299,0.917987,59.557855,70.605511,3.75,0,291.205269,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,72.790835,69.790835,74.44553,71.44553,0,0,107,0,,0,0,0,9.378246,12.038054,10.065566,10.477731,12.897846,12.167498,62.54742,0.792482,0.990654,8.370393,0.119469
138,Region 138,School detected,287,-65.407355,26.812505,-55.798142,-69.976474,-964.59841,0,2.160633,45.740971,435,6077,6095,6086,8.145628,8.181194,8.164294,0,0,0,20110502, 17:29:19.2340,20110502, 17:29:38.2710,20110502, 17:29:29.2530,48.15505667,-122.686405,48.15548,-122.6857883,48.15528667,-122.6860933,47.325519,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,69.326016,7.172308,444.137209,155.489821,3.09E-07,2.757942,12.211236,1.427133,68.186633,6.788308,441.090444,144.746336,106.964054,2.75E-07,-65.606628,112.283736,4.19E-07,2.53E-07,179.256234,6.22E-07,0,-62.06154447,0,Unassigned,100,-40,1,21336.7134,21336.7134,2.160633,42.740971,44.325519,3.75,0,610.395527,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,44.617531,41.617531,50.534341,47.534341,0,0,435,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,46.232225,2.654603,0.848276,19.115566,0.052313
139,Region 139,School detected,287,-61.799407,61.051396,-52.051585,-69.794691,-964.052525,0,2.143603,46.516397,159,6426,6432,6429,8.739864,8.762615,8.751205,0,0,0,20110502, 17:35:37.9690,20110502, 17:35:49.9800,20110502, 17:35:43.9740,48.15651197,-122.6887143,48.15625337,-122.689128,48.15638466,-122.6889228,49.389324,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,45.711695,4.246762,174.036582,104.091672,9.67E-07,3.206379,11.73892,3.826167,42.604212,3.862762,167.053616,88.243194,25.166376,6.15E-07,-62.108318,157.179244,4.35E-06,8.03E-07,172.383867,1.42E-06,0,-58.48796237,0,Unassigned,100,-40,1,48583.15705,48583.15705,2.143603,43.516397,46.389324,3.75,0,231.088824,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,47.148755,44.148755,51.745638,48.745638,0,0,159,0,,0,0,0,0.024804,5.475856,1.623064,0.595856,5.853346,4.009339,46.795142,0.866821,0.918239,4.794838,0.208558
140,Region 140,School detected,287,-64.099865,159.863833,-51.772956,-69.999382,-963.351979,0,9.533336,51.354448,11112,6571,6680,6625,9.047864,9.277416,9.161764,0,0,0,20110502, 17:38:13.2760,20110502, 17:40:10.5070,20110502, 17:39:11.3930,48.15283333,-122.6939967,48.15027307,-122.6982329,48.15156667,-122.6961033,71.837888,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,428.985971,20.195711,3717.059997,4091.259872,4.83E-07,3.064855,15.761078,2.265203,426.955395,19.811711,3712.230845,3994.471426,274.536926,3.83E-07,-64.166886,126.004883,1.13E-06,4.06E-07,32122.51204,3.71E-06,0,-54.30741613,0,Unassigned,100,-40,1,127215.5962,127215.5962,9.533336,48.354448,68.837888,3.75,0,20084.74241,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,67.622966,64.622966,78.664959,75.664959,0,0,11112,0,,0,0,0,8.504913,28.148416,14.780473,14.570418,36.257089,25.612718,51.404971,14.176253,0.799856,412.9701,0.002421
141,Region 141,School detected,287,-67.374373,11.764054,-61.245909,-69.993195,-963.898171,0,1.491085,47.992259,395,6682,6706,6694,9.281495,9.333998,9.308693,0,0,0,20110502, 17:40:12.5110,20110502, 17:40:39.5640,20110502, 17:40:26.5380,48.15022658,-122.6983068,48.1496383,-122.6992643,48.14994069,-122.6988308,79.469218,12.1.64.44173,3,20220802, 15:36:58.0540,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.02_c.EV,0.030381,-9999,-999,1,-70,1,-34,1,6.75,1,0,104.838474,5.096114,609.765097,155.78752,1.25E-07,1.28071,3.086619,-0.472515,105.234266,4.712114,609.788681,144.592512,204.645901,1.70E-07,-67.698241,73.819473,1.73E-07,5.59E-08,109.605431,2.73E-07,0,-65.63934822,0,Unassigned,100,-40,1,9361.536782,9361.536782,1.491085,44.992259,76.469218,3.75,0,613.752186,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,78.633582,75.633582,79.848856,76.848856,0,0,395,0,,0,0,0,29.430372,32.865409,30.285214,30.193233,34.809777,32.614326,47.878344,1.394021,0.875949,25.389012,0.039387
557,Region 557,Schools detected,289,-66.438656,19.823502,-59.272098,-69.995353,-960.69225,0,2.025602,62.687169,792,3346,3382,3364,4.532244,4.594196,4.562234,0,0,0,20110504, 15:10:24.8870,20110504, 15:11:00.9590,20110504, 15:10:42.9230,48.14921667,-122.6901383,48.148555,-122.69132,48.14890667,-122.6907233,64.47139,12.1.64.44173,3,20220802, 15:40:35.2700,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,117.974995,5.961715,697.62645,236.664068,1.96E-07,1.495129,3.187743,0.51263,117.414123,5.577715,695.736708,220.367634,174.796271,2.13E-07,-66.711401,92.076566,2.67E-07,1.34E-07,238.55189,4.60E-07,0,-63.37311458,0,Unassigned,100,-40,1,15775.04156,15775.04156,2.025602,59.687169,61.47139,3.75,0,2171.3434,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,64.384096,61.384096,64.580649,61.580649,0,0,792,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,62.693047,1.841634,0.816919,42.905636,0.023307
558,Region 558,Schools detected,289,-65.08471,14.494915,-56.013412,-69.962715,-959.150845,0,1.084413,68.341398,424,3402,3438,3420,4.631141,4.702251,4.666844,0,0,0,20110504, 15:11:21.0000,20110504, 15:11:58.0730,20110504, 15:11:40.0360,48.148135,-122.6919917,48.14733514,-122.6932959,48.14773926,-122.6926546,68.977382,12.1.64.44173,3,20220802, 15:40:35.2700,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.May.04_c.EV,0.031685,-9999,-999,1,-70,1,-34,1,6.75,1,0,135.35815,6.340237,507.649361,145.760926,3.27E-07,2.497922,8.462994,1.642618,133.39873,5.956237,502.962521,134.950619,149.171723,2.94E-07,-65.31968,111.405754,8.09E-07,2.16E-07,119.711283,3.36E-07,0,-64.73276161,0,Unassigned,100,-40,1,11534.68688,11534.68688,1.084413,65.341398,65.977382,3.75,0,1393.204133,0,120,,Variable name: 120 de-noised w/o turbulence 60m from bottom__School detected with:__Minimum data threshold:  -70.00__Maximum data threshold:  -34.00__Distance mode: GPS distance__Minimum total school height (meters):   3.00__Minimum candidate length (meters):   5.00__Minimum candidate height (meters):   3.00__Maximum vertical linking distance (meters):  10.00__Maximum horizontal linking distance (meters):  10.00__Minimum total school length (meters):   5.00__,65.916012,62.916012,72.699777,69.699777,0,0,424,0,,0,0,0,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,-9.90E+37,68.719998,1.901632,0.889151,19.004887,0.052618
